,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Cat
333,NBA Live 09,PS3,2008.0,Sports,Electronic Arts,0.46,0.0,0.02,0.04,0.52,75.0,32.0,7.8,15.0,EA Canada,E,Sports
334,SSX On Tour,PS2,2005.0,Sports,Electronic Arts,0.25,0.2,0.0,0.07,0.52,80.0,41.0,7.9,26.0,EA Canada,E,Sports
335,Madden NFL 2004,GC,2003.0,Sports,Electronic Arts,0.4,0.1,0.0,0.01,0.51,94.0,19.0,7.7,17.0,EA Tiburon,E,Sports
336,NBA Live 07,PSP,2006.0,Sports,Electronic Arts,0.47,0.0,0.0,0.04,0.51,64.0,9.0,7.5,4.0,EA Sports,E,Sports
337,Major League Baseball 2K10,X360,2010.0,Sports,Take-Two Interactive,0.47,0.0,0.0,0.04,0.51,76.0,26.0,7.6,38.0,Visual Concepts,E,Sports
338,NBA Live 2004,XB,2003.0,Sports,Electronic Arts,0.44,0.04,0.0,0.02,0.51,85.0,19.0,8.2,11.0,EA Sports,E,Sports
339,NHL 07,PS2,2006.0,Sports,Electronic Arts,0.42,0.02,0.0,0.07,0.51,76.0,11.0,4.6,51.0,EA Sports,E10+,Sports
340,Tiger Woods PGA Tour 13,X360,2012.0,Sports,Electronic Arts,0.29,0.18,0.0,0.04,0.51,77.0,47.0,5.6,39.0,Electronic Arts,E,Sports
341,NHL 09,X360,2008.0,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5,88.0,41.0,8.4,61.0,EA Canada,E10+,Sports
342,Lost: Via Domus,PS3,2008.0,Action,Ubisoft,0.19,0.22,0.0,0.09,0.5,54.0,30.0,6.9,28.0,Ubisoft Montreal,T,Action
343,Major League Baseball 2K12,X360,2012.0,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,0.5,68.0,19.0,6.4,22.0,Visual Concepts,E,Sports
344,NBA Street Homecourt,X360,2007.0,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5,80.0,42.0,8.2,30.0,EA Canada,E,Sports
345,Madden NFL 07,Wii,2006.0,Sports,Electronic Arts,0.46,0.0,0.0,0.04,0.49,81.0,35.0,8,16.0,EA Canada,E,Sports
346,Far Cry 2,PC,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,34.0,5.8,1345.0,Ubisoft Montreal,M,Action
347,NFL Street 2,XB,2004.0,Sports,Electronic Arts,0.36,0.11,0.0,0.02,0.48,78.0,44.0,6.5,11.0,EA Tiburon,E,Sports
348,Tiger Woods PGA Tour 06,XB,2005.0,Sports,Electronic Arts,0.35,0.11,0.0,0.02,0.48,81.0,30.0,5.1,11.0,EA Sports,E,Sports
349,FIFA World Cup Germany 2006,X360,2006.0,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48,72.0,49.0,6.6,33.0,EA Canada,E,Sports
350,Need for Speed Carbon,XB,2006.0,Racing,Electronic Arts,0.35,0.1,0.0,0.02,0.47,74.0,19.0,7.4,11.0,EA Canada,E10+,Sports
351,2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69.0,11.0,7.4,9.0,Electronic Arts,E,Sports
352,SimCity Creator,Wii,2008.0,Simulation,Electronic Arts,0.36,0.02,0.04,0.04,0.46,67.0,17.0,6.8,13.0,Electronic Arts,E,Strategy
353,NBA Live 07,X360,2006.0,Sports,Electronic Arts,0.42,0.0,0.0,0.04,0.46,59.0,32.0,4.9,60.0,EA Sports,E,Sports
354,NFL Head Coach,PS2,2006.0,Sports,Electronic Arts,0.38,0.01,0.0,0.06,0.45,66.0,22.0,6.9,15.0,EA Tiburon,E,Sports
355,NHL 2005,PS2,2004.0,Sports,Electronic Arts,0.22,0.17,0.0,0.06,0.45,75.0,21.0,8.3,23.0,EA Sports,E,Sports
356,Major League Baseball 2K11,X360,2011.0,Sports,Take-Two Interactive,0.4,0.03,0.0,0.03,0.45,69.0,27.0,6.8,24.0,Visual Concepts,E,Sports
357,NBA Live 2005,GC,2004.0,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45,83.0,17.0,6.7,7.0,EA Canada,E,Sports
358,NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45,80.0,40.0,7.7,37.0,EA Canada,E,Sports
359,Sled Storm,PS2,2002.0,Racing,Electronic Arts,0.22,0.17,0.0,0.06,0.45,73.0,22.0,7.7,6.0,Electronic Arts,T,Sports
360,Watch Dogs,PC,2014.0,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,18.0,4.7,3288.0,Ubisoft Montreal,M,Action
361,Celebrity Sports Showdown,Wii,2008.0,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45,50.0,12.0,4.6,18.0,EA Canada,E,Sports
362,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44,88.0,14.0,8.5,11.0,EA Sports,E,Sports
363,NCAA Football 2004,XB,2003.0,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43,88.0,13.0,8.8,19.0,EA Sports,E,Sports
364,Just Dance 4,PS3,2012.0,Misc,Ubisoft,0.26,0.11,0.0,0.06,0.43,77.0,5.0,7.1,29.0,Ubisoft,E10+,Puzzle
365,Madden NFL 2003,GC,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43,92.0,13.0,8.5,17.0,EA Sports,E,Sports
366,NBA Street,GC,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42,88.0,15.0,8.6,7.0,EA Sports,E,Sports
367,2014 FIFA World Cup Brazil,X360,2014.0,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,29.0,4.4,93.0,EA Canada,E,Sports
368,2010 FIFA World Cup South Africa,Wii,2010.0,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70.0,19.0,6.7,11.0,Electronic Arts,E,Sports
369,NASCAR Kart Racing,Wii,2009.0,Racing,Electronic Arts,0.39,0.0,0.0,0.03,0.42,70.0,12.0,8.1,9.0,Electronic Arts,E,Sports
370,NBA Live 06,PSP,2005.0,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42,80.0,18.0,7.6,13.0,EA Canada,E,Sports
371,Harry Potter and the Goblet of Fire,GC,2005.0,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42,69.0,20.0,6.3,13.0,Electronic Arts,E10+,Action
372,Blazing Angels: Squadrons of WWII,X360,2006.0,Simulation,Ubisoft,0.36,0.02,0.0,0.03,0.42,66.0,58.0,7.9,53.0,Ubisoft,T,Strategy
373,Tom Clancy's HAWX 2,PS3,2010.0,Action,Ubisoft,0.21,0.12,0.03,0.05,0.41,70.0,30.0,6.8,19.0,Ubisoft,T,Action
374,Medal of Honor Heroes 2,Wii,2007.0,Shooter,Electronic Arts,0.33,0.04,0.01,0.03,0.41,73.0,37.0,7.6,82.0,EA Canada,T,Action
375,Disney's Tarzan Untamed,PS2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,59.0,7.0,7.1,7.0,Ubisoft,E,Adventure
376,NBA Jam,Wii,2010.0,Sports,Electronic Arts,0.36,0.02,0.0,0.02,0.4,79.0,43.0,8.5,20.0,EA Canada,E,Sports
377,Harry Potter: Quidditch World Cup,GC,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4,68.0,16.0,8.5,10.0,Electronic Arts,E,Sports
378,FIFA 14,PC,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,87.0,6.0,4.6,441.0,EA Canada,E,Sports
379,FIFA Soccer 13,PC,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,86.0,7.0,6.6,286.0,Electronic Arts,E,Action
380,NBA Live 2002,XB,2001.0,Sports,Electronic Arts,0.35,0.03,0.0,0.02,0.4,76.0,15.0,7.5,6.0,Electronic Arts,E,Sports
381,NBA Jam,PS3,2010.0,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.39,71.0,33.0,5.7,14.0,EA Canada,E,Sports
382,NBA Jam,X360,2010.0,Sports,Electronic Arts,0.27,0.09,0.0,0.03,0.39,75.0,30.0,7,24.0,EA Canada,E,Sports
383,SSX 3,XB,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.39,92.0,27.0,8.7,25.0,EA Canada,E,Sports
384,Monopoly Streets,PS3,2010.0,Misc,Electronic Arts,0.16,0.17,0.0,0.06,0.39,64.0,11.0,6.1,9.0,Electronic Arts,E,Puzzle
385,EA Sports Active 2,X360,2010.0,Sports,Electronic Arts,0.18,0.16,0.0,0.04,0.39,68.0,21.0,5.4,9.0,EA Canada,E,Sports
386,ESPN College Hoops 2K5,XB,2004.0,Sports,Sega,0.29,0.08,0.0,0.01,0.38,86.0,18.0,8.3,11.0,Visual Concepts,E,Sports
387,NCAA Football 08,PS3,2007.0,Sports,Electronic Arts,0.35,0.0,0.0,0.03,0.38,77.0,13.0,7.9,28.0,EA Sports,E,Sports
388,SSX 3,GC,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.7,45.0,EA Canada,E,Sports
389,Just Dance 2014,PS3,2013.0,Misc,Ubisoft,0.17,0.14,0.0,0.06,0.38,77.0,6.0,7.1,25.0,Ubisoft,E10+,Puzzle
390,NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.03,0.37,80.0,20.0,7.4,8.0,Visual Concepts,E,Sports
391,EA Sports MMA,PS3,2010.0,Fighting,Electronic Arts,0.16,0.14,0.01,0.06,0.37,77.0,47.0,6.9,38.0,EA Tiburon,T,Sports
392,Tiger Woods PGA Tour 14,PS3,2013.0,Sports,Electronic Arts,0.16,0.14,0.0,0.07,0.37,74.0,28.0,3.8,26.0,EA Tiburon,E,Sports
393,NFL Street 2 Unleashed,PSP,2005.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,73.0,23.0,7.4,14.0,EA Tiburon,E,Sports
394,FIFA Street 2,PS2,2006.0,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,59.0,27.0,7.7,42.0,EA Canada,E,Sports
395,NCAA Football 07,PSP,2006.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,75.0,16.0,7.9,11.0,EA Sports,E,Sports
396,Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,68.0,57.0,6.3,29.0,Ubisoft,T,Action
397,NBA 2K6,XB,2005.0,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,84.0,27.0,8.7,15.0,Visual Concepts,E,Action
398,ESPN NFL Football,XB,2003.0,Sports,Sega,0.27,0.08,0.0,0.01,0.36,91.0,25.0,8.9,45.0,Visual Concepts,E,Sports
399,TMNT,Wii,2007.0,Action,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,5.9,11.0,Ubisoft Montreal,E10+,Action
400,Tiger Woods PGA Tour 14,X360,2013.0,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,28.0,6.2,26.0,EA Tiburon,E,Sports
401,Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,Ubisoft Montreal,T,Action
402,Need for Speed Carbon,GC,2006.0,Racing,Electronic Arts,0.27,0.07,0.0,0.01,0.35,75.0,12.0,7.8,14.0,EA Canada,E10+,Sports
403,EA Sports MMA,X360,2010.0,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7,55.0,EA Tiburon,T,Sports
404,NFL Street,GC,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8,4.0,EA Tiburon,E,Sports
405,Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,E,Sports
406,Monopoly,PS3,2008.0,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,4.0,6.7,13.0,Electronic Arts,E,Puzzle
407,MVP 06 NCAA Baseball,XB,2006.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,29.0,8.6,17.0,EA Canada,E,Sports
408,NHL 09,PS3,2008.0,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.33,88.0,25.0,7.7,41.0,EA Canada,E10+,Sports
409,NCAA Basketball 10,PS3,2009.0,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,EA Canada,E,Sports
410,Naruto: Rise of a Ninja,X360,2007.0,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,35.0,8.6,84.0,Ubisoft Montreal,T,Action
411,MVP Baseball 2005,GC,2005.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,88.0,20.0,8.7,16.0,EA Sports,E,Sports
412,NBA Street V3,XB,2005.0,Sports,Electronic Arts,0.28,0.03,0.0,0.01,0.32,89.0,41.0,8.9,10.0,EA Canada,E,Sports
413,Prince of Persia: The Sands of Time,GC,2003.0,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32,92.0,33.0,8.4,41.0,Ubisoft,T,Action
414,FIFA Street 3,PS3,2008.0,Sports,Electronic Arts,0.08,0.18,0.0,0.06,0.32,63.0,37.0,6.9,19.0,EA Canada,E,Sports
415,Shaun White Snowboarding,PSP,2008.0,Sports,Ubisoft,0.26,0.03,0.0,0.03,0.32,70.0,5.0,7.5,4.0,Ubisoft,E10+,Sports
416,NBA 2K3,XB,2002.0,Sports,Sega,0.24,0.07,0.0,0.01,0.32,87.0,15.0,7.9,9.0,Visual Concepts,E,Sports
417,FIFA Street 3,X360,2008.0,Sports,Electronic Arts,0.14,0.14,0.0,0.03,0.32,63.0,48.0,6.9,18.0,EA Canada,E,Sports
418,Marvel Nemesis: Rise of the Imperfects,PSP,2005.0,Fighting,Electronic Arts,0.29,0.0,0.0,0.02,0.32,58.0,15.0,8.7,30.0,EA Canada,T,Sports
419,FIFA Street,PS2,2005.0,Sports,Electronic Arts,0.15,0.12,0.0,0.04,0.31,59.0,29.0,7.9,52.0,EA Canada,E,Sports
420,SimAnimals,Wii,2009.0,Simulation,Electronic Arts,0.14,0.13,0.0,0.03,0.31,58.0,13.0,2.1,35.0,Electronic Arts,E,Strategy
421,Tiger Woods PGA Tour 06,X360,2005.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.31,71.0,36.0,7.4,8.0,EA Sports,E,Sports
422,NASCAR Thunder 2003,GC,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,0.31,85.0,12.0,6.6,5.0,EA Sports,E,Sports
423,NBA Live 08,PSP,2007.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.31,73.0,11.0,6.2,5.0,EA Canada,E,Sports
424,PowerUp Heroes,X360,2011.0,Fighting,Ubisoft,0.18,0.09,0.0,0.03,0.3,61.0,13.0,7.5,10.0,Ubisoft,E10+,Sports
425,Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,0.15,0.11,0.0,0.04,0.3,90.0,16.0,8.2,42.0,Ubisoft,E,Adventure
426,Shaun White Snowboarding: World Stage,Wii,2009.0,Sports,Ubisoft,0.24,0.03,0.0,0.02,0.29,72.0,33.0,8.7,30.0,Ubisoft,E,Sports
427,MySims SkyHeroes,Wii,2010.0,Action,Electronic Arts,0.16,0.1,0.0,0.03,0.29,67.0,9.0,5.2,5.0,Electronic Arts,E10+,Action
428,NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29,88.0,36.0,8.4,16.0,EA Canada,E,Sports
429,NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29,64.0,35.0,5.6,16.0,EA Canada,E,Sports
430,Prince of Persia: Rival Swords,Wii,2007.0,Action,Ubisoft,0.24,0.02,0.0,0.02,0.29,70.0,30.0,7.7,21.0,Ubisoft Montreal,T,Action
431,Madden NFL 08,XB,2007.0,Sports,Electronic Arts,0.22,0.06,0.0,0.01,0.29,76.0,6.0,6,4.0,EA Tiburon,E,Sports
432,Rayman 3: Hoodlum Havoc,PS2,2003.0,Platform,Ubisoft,0.14,0.11,0.0,0.04,0.29,76.0,21.0,8.6,38.0,Ubisoft,E,Adventure
433,NASCAR 08,X360,2007.0,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.29,59.0,29.0,5.2,30.0,EA Tiburon,E,Sports
434,Monster 4x4: Masters of Metal,PS2,2003.0,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28,48.0,9.0,8.3,13.0,Ubisoft,E,Sports
435,FIFA 15,PC,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.2,383.0,EA Sports,E,Sports
436,NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,80.0,18.0,7.8,4.0,EA Canada,E,Sports
437,Monopoly Streets,X360,2010.0,Misc,Electronic Arts,0.16,0.09,0.0,0.02,0.28,66.0,18.0,6.6,16.0,Electronic Arts,E,Puzzle
438,NHL 07,X360,2006.0,Sports,Electronic Arts,0.25,0.0,0.0,0.02,0.27,79.0,49.0,5.3,167.0,EA Sports,E10+,Sports
439,NASCAR 06: Total Team Control,XB,2005.0,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,79.0,25.0,5.9,7.0,EA Sports,E,Sports
440,NHL 2002,XB,2001.0,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,89.0,17.0,8.8,5.0,EA Sports,E,Sports
441,NHL 2K11,Wii,2010.0,Sports,Take-Two Interactive,0.23,0.02,0.0,0.02,0.27,62.0,12.0,5.8,4.0,Visual Concepts,E10+,Sports
442,NBA Live 2004,GC,2003.0,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27,84.0,17.0,9,4.0,EA Sports,E,Sports
443,Knockout Kings 2002,XB,2002.0,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,78.0,20.0,7.9,7.0,Electronic Arts,T,Sports
444,ESPN NBA Basketball,XB,2003.0,Sports,Sega,0.2,0.06,0.0,0.01,0.27,87.0,18.0,8.2,25.0,Visual Concepts,E,Sports
445,All-Pro Football 2K8,X360,2007.0,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75.0,22.0,6.8,52.0,Visual Concepts,E10+,Sports
446,Superman Returns,X360,2006.0,Action,Electronic Arts,0.23,0.01,0.0,0.02,0.26,51.0,48.0,6.2,49.0,EA Tiburon,T,Action
447,Batman: Vengeance,GC,2001.0,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26,70.0,17.0,5.8,16.0,Ubisoft Montreal,T,Adventure
448,MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26,89.0,25.0,8.5,11.0,EA Sports,E,Sports
449,NHL 08,PS3,2007.0,Action,Electronic Arts,0.16,0.06,0.0,0.03,0.25,86.0,23.0,6.9,23.0,EA Canada,E10+,Action
450,NHL 08,X360,2007.0,Action,Electronic Arts,0.22,0.01,0.0,0.02,0.25,85.0,44.0,8.2,44.0,EA Canada,E10+,Action
451,NHL 06,XB,2005.0,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25,79.0,35.0,8.4,18.0,EA Canada,E10+,Sports
452,Far Cry Instincts Predator,X360,2006.0,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.24,78.0,46.0,6.2,80.0,Ubisoft Montreal,M,Action
453,NBA Live 10,PSP,2009.0,Sports,Electronic Arts,0.21,0.0,0.01,0.02,0.24,64.0,4.0,4.2,10.0,EA Canada,E,Sports
454,FIFA World Cup Germany 2006,XB,2006.0,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24,77.0,22.0,8.4,9.0,EA Canada,E,Sports
455,NASCAR 08,PS2,2007.0,Racing,Electronic Arts,0.12,0.09,0.0,0.03,0.24,56.0,9.0,8.2,9.0,EA Tiburon,E,Sports
456,Harry Potter and the Goblet of Fire,XB,2005.0,Action,Electronic Arts,0.18,0.05,0.0,0.01,0.23,68.0,26.0,5.8,10.0,Electronic Arts,E10+,Action
457,NBA 2K6,X360,2005.0,Action,Take-Two Interactive,0.21,0.01,0.0,0.02,0.23,81.0,33.0,8.6,31.0,Visual Concepts,E,Action
458,NASCAR 08,PS3,2007.0,Racing,Electronic Arts,0.15,0.05,0.0,0.03,0.23,57.0,21.0,5,14.0,EA Tiburon,E,Sports
459,Grand Slam Tennis 2,PS3,2012.0,Sports,Electronic Arts,0.09,0.1,0.0,0.04,0.23,73.0,36.0,5.2,17.0,EA Sports,E,Sports
460,Tom Clancy's Rainbow Six: Siege,PC,2015.0,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23,79.0,37.0,6.9,734.0,Ubisoft Montreal,M,Action
461,Tiger Woods PGA Tour 2003,GC,2002.0,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.23,90.0,10.0,8,5.0,EA Sports,E,Sports
462,NBA Street: Showdown,PSP,2005.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,75.0,25.0,8.5,15.0,EA Canada,E,Sports
463,NCAA Football 2005,GC,2004.0,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22,88.0,18.0,9,5.0,EA Sports,E,Sports
464,FaceBreaker K.O. Party,Wii,2008.0,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22,61.0,15.0,5.6,7.0,EA Canada,T,Sports
465,From Russia With Love,GC,2005.0,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22,70.0,20.0,8.5,13.0,Electronic Arts,T,Action
466,NBA Live 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22,51.0,11.0,5.9,14.0,EA Sports,E,Sports
467,NCAA Basketball 09,X360,2008.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,70.0,23.0,5.6,8.0,EA Canada,E,Sports
468,NFL 2K3,GC,2002.0,Sports,Sega,0.17,0.04,0.0,0.01,0.22,92.0,24.0,8.3,15.0,Visual Concepts,E,Sports
469,MVP Baseball,PSP,2005.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21,67.0,21.0,7.7,16.0,EA Canada,E,Sports
470,Rumble Racing,PS2,2001.0,Racing,Electronic Arts,0.1,0.08,0.0,0.03,0.21,85.0,17.0,8.2,9.0,Electronic Arts,E,Sports
471,NCAA Football 2003,GC,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21,91.0,11.0,8.1,9.0,EA Sports,E,Sports
472,NCAA March Madness 07,X360,2007.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,67.0,33.0,7.1,15.0,EA Canada,E,Sports
473,NHL 2003,XB,2002.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,80.0,12.0,7.9,12.0,EA Sports,E,Sports
474,Tiger Woods PGA Tour,PSP,2005.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,78.0,25.0,7.4,14.0,EA Canada,E,Sports
475,NCAA March Madness 06,XB,2005.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,76.0,21.0,7.2,5.0,EA Canada,E,Sports
476,NBA 2K2,XB,2002.0,Sports,Sega,0.15,0.04,0.0,0.01,0.2,90.0,17.0,7.6,5.0,Visual Concepts,E,Sports
477,Major League Baseball 2K11,PS3,2011.0,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2,72.0,13.0,6.3,9.0,Visual Concepts,E,Sports
478,FIFA 16,PC,2015.0,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0,EA Sports,E,Sports
479,MVP Baseball 2003,XB,2003.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,82.0,18.0,9,9.0,EA Sports,E,Sports
480,From Russia With Love,XB,2005.0,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,71.0,34.0,8.8,12.0,Electronic Arts,T,Action
481,Prince of Persia: Warrior Within,GC,2004.0,Action,Ubisoft,0.15,0.04,0.0,0.01,0.2,83.0,31.0,8.6,20.0,Ubisoft,M,Action
482,Tom Clancy's Splinter Cell: Essentials,PSP,2006.0,Shooter,Ubisoft,0.17,0.01,0.0,0.02,0.19,58.0,37.0,7.5,39.0,Ubisoft,M,Action
483,Major League Baseball 2K12,PS3,2012.0,Sports,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19,68.0,8.0,4.4,5.0,Visual Concepts,E,Sports
484,Harry Potter and the Goblet of Fire,PSP,2005.0,Action,Electronic Arts,0.17,0.0,0.0,0.02,0.19,70.0,13.0,7.4,16.0,Electronic Arts,E10+,Action
485,NBA 2K11,PC,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,82.0,6.0,8.6,37.0,Visual Concepts,E,Action
486,FaceBreaker,X360,2008.0,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,54.0,57.0,6.3,19.0,EA Canada,T,Sports
487,Shaun White Skateboarding,PS3,2010.0,Sports,Ubisoft,0.11,0.05,0.0,0.03,0.19,61.0,26.0,6.5,8.0,Ubisoft Montreal,T,Sports
488,Major League Baseball 2K10,PS3,2010.0,Sports,Take-Two Interactive,0.17,0.0,0.0,0.01,0.19,74.0,19.0,5.3,4.0,Visual Concepts,E,Sports
489,Harry Potter: Quidditch World Cup,XB,2003.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,69.0,14.0,7.5,4.0,Electronic Arts,E,Sports
490,Grand Slam Tennis 2,X360,2012.0,Sports,Electronic Arts,0.1,0.06,0.0,0.02,0.18,71.0,45.0,5.1,14.0,EA Sports,E,Sports
491,FIFA Soccer 11,PC,2010.0,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18,83.0,16.0,7.7,102.0,EA Sports,E,Sports
492,FIFA Soccer 2002,GC,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,13.0,8,9.0,EA Sports,E,Sports
493,Disney's Tarzan Untamed,GC,2001.0,Platform,Ubisoft,0.14,0.04,0.0,0.0,0.18,61.0,11.0,7.4,8.0,Ubisoft Montreal,E,Adventure
494,College Hoops 2K8,X360,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18,81.0,21.0,6.9,16.0,Visual Concepts,E,Sports
495,NHL 2K9,X360,2008.0,Sports,Take-Two Interactive,0.15,0.01,0.0,0.01,0.17,69.0,33.0,6.7,7.0,Visual Concepts,E10+,Sports
496,Fight Night Round 2,GC,2005.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.0,0.17,87.0,32.0,7.9,7.0,EA Sports,T,Sports
497,FaceBreaker,PS3,2008.0,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,37.0,3.8,20.0,EA Canada,T,Sports
498,SSX On Tour,GC,2005.0,Sports,Electronic Arts,0.13,0.03,0.0,0.0,0.17,80.0,27.0,7.5,14.0,EA Canada,E,Sports
499,NHL 07,PSP,2006.0,Sports,Electronic Arts,0.13,0.02,0.0,0.02,0.17,76.0,7.0,6.6,23.0,EA Sports,E10+,Sports
500,Cubivore: Survival of the Fittest,GC,2002.0,Adventure,Nintendo,0.01,0.0,0.15,0.0,0.17,71.0,12.0,8.5,21.0,Nintendo,E,Adventure
501,Far Cry: Primal,PC,2016.0,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,18.0,4.8,368.0,Ubisoft Montreal,M,Action
